longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product
-85.375499,42.408521,2.15,2012/10/25,16:53:25+00,74,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408504,2.85,2012/10/25,16:53:24+00,72,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408488,2.85,2012/10/25,16:53:23+00,71,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408471,2.65,2012/10/25,16:53:22+00,74,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408454,2.65,2012/10/25,16:53:21+00,71,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408435,2.45,2012/10/25,16:53:20+00,74,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408418,2.15,2012/10/25,16:53:19+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408402,3.45,2012/10/25,16:53:18+00,73,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408385,3.45,2012/10/25,16:53:17+00,74,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408368,3.85,2012/10/25,16:53:16+00,71,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408352,4.25,2012/10/25,16:53:15+00,76,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408332,3.75,2012/10/25,16:53:14+00,76,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408315,3.75,2012/10/25,16:53:13+00,77,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408299,3.25,2012/10/25,16:53:12+00,76,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408279,3.25,2012/10/25,16:53:11+00,76,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408263,3.25,2012/10/25,16:53:10+00,77,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408243,3.15,2012/10/25,16:53:09+00,76,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408227,2.65,2012/10/25,16:53:08+00,77,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408207,2.05,2012/10/25,16:53:07+00,74,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.40819,2.05,2012/10/25,16:53:06+00,70,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408174,2.05,2012/10/25,16:53:05+00,61,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408157,2.05,2012/10/25,16:53:04+00,52,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408149,2.05,2012/10/25,16:53:03+00,53,180,14.76,1,10,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408135,2.35,2012/10/25,16:53:02+00,55,180,14.76,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408121,2.35,2012/10/25,16:53:01+00,58,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375499,42.408107,2.05,2012/10/25,16:53:00+00,58,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375491,42.408096,2.65,2012/10/25,16:52:59+00,47,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.37548,42.408088,2.25,2012/10/25,16:52:58+00,24,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.37548,42.408088,2.35,2012/10/25,16:52:57+00,31,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375485,42.408093,2.55,2012/10/25,16:52:56+00,54,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408099,1.85,2012/10/25,16:52:55+00,51,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375519,42.408102,2.45,2012/10/25,16:52:54+00,21,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375522,42.408102,1.85,2012/10/25,16:52:53+00,16,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375516,42.408102,1.65,2012/10/25,16:52:52+00,50,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375502,42.408102,1.85,2012/10/25,16:52:51+00,69,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.37548,42.408104,0.05,2012/10/25,16:52:50+00,84,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375458,42.408115,0.05,2012/10/25,16:52:49+00,82,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375444,42.408135,1.85,2012/10/25,16:52:48+00,81,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375441,42.408152,1.85,2012/10/25,16:52:47+00,77,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375441,42.408168,2.55,2012/10/25,16:52:46+00,75,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375444,42.408185,2.75,2012/10/25,16:52:45+00,75,180,14.96,0,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375444,42.408204,1.85,2012/10/25,16:52:44+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408221,2.45,2012/10/25,16:52:43+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.40824,1.95,2012/10/25,16:52:42+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408257,1.15,2012/10/25,16:52:41+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408274,1.75,2012/10/25,16:52:40+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408293,1.85,2012/10/25,16:52:39+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.40831,2.65,2012/10/25,16:52:38+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408327,2.55,2012/10/25,16:52:37+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408346,1.95,2012/10/25,16:52:36+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408363,1.75,2012/10/25,16:52:35+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408379,1.85,2012/10/25,16:52:34+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408399,1.85,2012/10/25,16:52:33+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408415,2.25,2012/10/25,16:52:32+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408432,2.25,2012/10/25,16:52:31+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408452,2.25,2012/10/25,16:52:30+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408468,2.25,2012/10/25,16:52:29+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408488,2.25,2012/10/25,16:52:28+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408504,2.35,2012/10/25,16:52:27+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408521,2.35,2012/10/25,16:52:26+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.40854,2.15,2012/10/25,16:52:25+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408557,2.45,2012/10/25,16:52:24+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408577,2.85,2012/10/25,16:52:23+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408593,2.75,2012/10/25,16:52:22+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408613,3.05,2012/10/25,16:52:21+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408629,2.65,2012/10/25,16:52:20+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408646,2.85,2012/10/25,16:52:19+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408665,2.85,2012/10/25,16:52:18+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408682,3.15,2012/10/25,16:52:17+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408702,2.95,2012/10/25,16:52:16+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408718,2.25,2012/10/25,16:52:15+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408738,2.25,2012/10/25,16:52:14+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408754,2.55,2012/10/25,16:52:13+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408774,2.85,2012/10/25,16:52:12+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.40879,2.95,2012/10/25,16:52:11+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408807,2.85,2012/10/25,16:52:10+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408827,2.65,2012/10/25,16:52:09+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408843,2.95,2012/10/25,16:52:08+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408863,2.95,2012/10/25,16:52:07+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408879,3.05,2012/10/25,16:52:06+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408899,3.45,2012/10/25,16:52:05+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408915,3.05,2012/10/25,16:52:04+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408935,2.65,2012/10/25,16:52:03+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408952,3.95,2012/10/25,16:52:02+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408968,3.95,2012/10/25,16:52:01+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.408988,3.55,2012/10/25,16:52:00+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.409004,2.85,2012/10/25,16:51:59+00,75,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.409024,2.15,2012/10/25,16:51:58+00,74,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.40904,1.85,2012/10/25,16:51:57+00,72,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.409057,1.75,2012/10/25,16:51:56+00,58,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375444,42.409068,1.75,2012/10/25,16:51:55+00,33,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375444,42.409077,1.75,2012/10/25,16:51:54+00,32,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375441,42.409085,1.75,2012/10/25,16:51:53+00,32,180,14.96,1,9,5648,F1: T4R6-East,L1: ,Soybeans
-85.375441,42.40909,1.85,2012/10/25,16:51:52+00,32,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375441,42.409099,1.75,2012/10/25,16:51:51+00,34,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375444,42.409107,0.95,2012/10/25,16:51:50+00,48,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
-85.375447,42.409118,1.15,2012/10/25,16:51:49+00,73,180,14.96,0,8,5648,F1: T4R6-East,L1: ,Soybeans
