longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,,
-85.368648,42.41348,2.2,2009/10/19,19:00:48+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368645,42.413461,2.4,2009/10/19,19:00:47+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368645,42.413444,2.5,2009/10/19,19:00:46+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368645,42.413425,2.5,2009/10/19,19:00:45+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368645,42.413408,2.5,2009/10/19,19:00:44+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368645,42.413389,2.7,2009/10/19,19:00:43+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368642,42.413372,3.3,2009/10/19,19:00:42+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368642,42.413353,2.9,2009/10/19,19:00:41+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368642,42.413333,2.7,2009/10/19,19:00:40+00,77,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368642,42.413316,0,2009/10/19,19:00:39+00,74,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368642,42.4133,0,2009/10/19,19:00:38+00,74,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368642,42.41328,0,2009/10/19,19:00:37+00,73,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368634,42.413266,0,2009/10/19,19:00:36+00,74,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368634,42.413247,0,2009/10/19,19:00:35+00,73,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368631,42.413233,0,2009/10/19,19:00:34+00,76,180,13.63,1,10,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368629,42.413214,1,2009/10/19,19:00:33+00,73,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.36862,42.4132,1.1,2009/10/19,19:00:32+00,78,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368601,42.413186,1.2,2009/10/19,19:00:31+00,78,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368581,42.413178,1.2,2009/10/19,19:00:30+00,78,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368554,42.413175,1.2,2009/10/19,19:00:29+00,78,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368531,42.41318,1.5,2009/10/19,19:00:28+00,79,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368509,42.413191,1.1,2009/10/19,19:00:27+00,77,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368495,42.413205,0.8,2009/10/19,19:00:26+00,77,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
-85.368495,42.413225,1,2009/10/19,19:00:25+00,77,180,13.63,0,9,5648,F1: T4R5-East,L1: ,Soybeans,,
