longitude,latitude,crop_flow_lb_s,datetime,,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,,
-85.368829,42.415328,0.75,2008/11/3,16:44:00+00,105,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368795,42.415326,1.35,2008/11/3,16:43:59+00,105,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368762,42.41532,1.45,2008/11/3,16:43:58+00,105,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368731,42.415309,2.15,2008/11/3,16:43:57+00,102,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368704,42.415295,2.55,2008/11/3,16:43:56+00,103,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368679,42.415276,3.15,2008/11/3,16:43:55+00,102,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368662,42.415259,3.05,2008/11/3,16:43:54+00,105,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368645,42.415239,4.35,2008/11/3,16:43:53+00,101,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.36864,42.415214,5.15,2008/11/3,16:43:52+00,100,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368634,42.415189,6.85,2008/11/3,16:43:51+00,98,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368634,42.415167,6.85,2008/11/3,16:43:50+00,87,180,17.38,0,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368631,42.415148,9.15,2008/11/3,16:43:49+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368631,42.415126,11.45,2008/11/3,16:43:48+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368631,42.415106,10.35,2008/11/3,16:43:47+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368629,42.415087,10.95,2008/11/3,16:43:46+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368629,42.415064,8.15,2008/11/3,16:43:45+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368629,42.415045,9.95,2008/11/3,16:43:44+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368629,42.415026,9.25,2008/11/3,16:43:43+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368629,42.415006,9.25,2008/11/3,16:43:42+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368626,42.414984,9.05,2008/11/3,16:43:41+00,85,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368626,42.414964,8.15,2008/11/3,16:43:40+00,84,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368626,42.414945,7.95,2008/11/3,16:43:39+00,84,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368626,42.414926,8.75,2008/11/3,16:43:38+00,84,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368623,42.414906,10.75,2008/11/3,16:43:37+00,83,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368623,42.414887,10.75,2008/11/3,16:43:36+00,84,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368623,42.414867,9.65,2008/11/3,16:43:35+00,84,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368623,42.414848,8.25,2008/11/3,16:43:34+00,84,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
-85.368623,42.414828,9.05,2008/11/3,16:43:33+00,83,180,17.38,1,10,5648,F1: T3R5-East,L1: ,Corn,,
